date,city_hmo,city_nog,city_obr,HQprcp_hmo,HQprcp_nog,HQprcp_obr,prcp_hmo,prcp_nog,prcp_obr
2021-06-08,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-09,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-10,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-11,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-12,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-13,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-14,Hermosillo,Heroica Nogales,Ciudad Obregón,0.02499999850988388,0.0,0.0,0.0,0.2,0.0
2021-06-15,Hermosillo,Heroica Nogales,Ciudad Obregón,0.32999998331069946,0.0,0.0,0.0,0.0,0.0
2021-06-16,Hermosillo,Heroica Nogales,Ciudad Obregón,0.41499996185302734,1.2999999523162842,0.0,0.0,0.0,0.0
2021-06-17,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-18,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-19,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,1.0,0.0
2021-06-20,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.30000000000000004,0.0
2021-06-21,Hermosillo,Heroica Nogales,Ciudad Obregón,0.1599999964237213,0.07999999821186066,0.0,0.0,0.0,0.0
2021-06-22,Hermosillo,Heroica Nogales,Ciudad Obregón,1.1100000143051147,2.0850000381469727,2.5799999237060547,1.5,0.4,0.0
2021-06-23,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,3.964999675750733,7.0,0.0,0.0
2021-06-24,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.03999999910593033,0.0,5.9,0.0
2021-06-25,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-26,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.2849999964237213,0.0,0.0,0.0,0.0
2021-06-27,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,2.239999771118164,0.25999999046325684,0.0,0.0,0.0
2021-06-28,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.3599999845027924,0.0,0.0,6.7,1.4
2021-06-29,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.9250000119209291,0.0,0.0,4.4,36.2
2021-06-30,Hermosillo,Heroica Nogales,Ciudad Obregón,0.32999998331069946,0.8999999761581421,0.8199999928474426,0.0,11.4,5.6
2021-07-01,Hermosillo,Heroica Nogales,Ciudad Obregón,0.6149999499320984,5.510000228881836,6.2249999046325675,0.0,6.8,2.5
2021-07-02,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.1599999964237213,2.9499998092651367,0.0,70.1,0.6000000000000001
2021-07-03,Hermosillo,Heroica Nogales,Ciudad Obregón,1.5299999713897705,0.0,9.65999984741211,19.4,39.5,23.8
2021-07-04,Hermosillo,Heroica Nogales,Ciudad Obregón,4.279999732971191,0.7749999761581421,0.059999998658895486,0.0,25.500000000000004,41.1
2021-07-05,Hermosillo,Heroica Nogales,Ciudad Obregón,0.17999999225139618,2.754999876022339,2.5999999046325684,0.0,14.099999999999998,35.40000000000001
2021-07-06,Hermosillo,Heroica Nogales,Ciudad Obregón,0.03999999910593033,1.5950000286102295,0.3999999761581421,0.0,0.30000000000000004,2.6000000000000005
2021-07-07,Hermosillo,Heroica Nogales,Ciudad Obregón,0.5199999809265137,1.950000047683716,0.35499998927116394,0.0,13.7,38.80000000000001
2021-07-08,Hermosillo,Heroica Nogales,Ciudad Obregón,3.5699999332427983,0.08500000089406967,0.17999999225139618,0.0,0.0,0.0
2021-07-09,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,2.0,0.0
2021-07-10,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.29999998211860657,0.0,0.0,18.5,0.0
2021-07-11,Hermosillo,Heroica Nogales,Ciudad Obregón,0.2949999868869781,0.6000000238418579,0.0,0.0,9.7,37.6
2021-07-12,Hermosillo,Heroica Nogales,Ciudad Obregón,5.6399993896484375,0.0,7.005000114440918,0.0,3.1,7.799999999999999
2021-07-13,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.73499995470047,0.0,0.0,15.9,14.7
2021-07-14,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.2449999898672104,0.0,0.0,39.9,0.6
2021-07-15,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.2899999916553497,0.73499995470047,0.0,36.6,0.0
2021-07-16,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,2.4549999237060547,1.709999918937683,0.0,27.0,2.5
2021-07-17,Hermosillo,Heroica Nogales,Ciudad Obregón,2.829999685287476,0.3199999928474426,2.0299999713897705,0.0,11.4,1.9
2021-07-18,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,3.1800000667572017,0.0,34.7,0.8
2021-07-19,Hermosillo,Heroica Nogales,Ciudad Obregón,1.6599999666213991,0.20499999821186066,7.744999885559082,0.0,3.5,2.9
2021-07-20,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.12999999523162842,0.0,0.0,8.6,2.8000000000000003
2021-07-21,Hermosillo,Heroica Nogales,Ciudad Obregón,0.9449999928474426,0.0,0.0,0.0,22.0,12.3
2021-07-22,Hermosillo,Heroica Nogales,Ciudad Obregón,0.02499999850988388,0.0,0.0,0.0,3.8,0.30000000000000004
2021-07-23,Hermosillo,Heroica Nogales,Ciudad Obregón,0.014999999664723871,0.0,0.0,0.0,40.6,8.9
2021-07-24,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.03500000014901161,0.0,0.0,22.1,5.9
2021-07-25,Hermosillo,Heroica Nogales,Ciudad Obregón,0.029999999329447743,0.0,0.0,0.0,83.80000000000003,0.0
2021-07-26,Hermosillo,Heroica Nogales,Ciudad Obregón,0.009999999776482582,0.0,1.2899999618530271,0.0,6.0,0.0
2021-07-27,Hermosillo,Heroica Nogales,Ciudad Obregón,0.009999999776482582,0.0,0.22499999403953552,0.0,1.8000000000000005,7.0
2021-07-28,Hermosillo,Heroica Nogales,Ciudad Obregón,0.009999999776482582,0.0,0.07999999821186066,0.0,3.1,0.3
2021-07-29,Hermosillo,Heroica Nogales,Ciudad Obregón,1.9850000143051147,0.22999998927116394,1.900000095367432,0.0,29.1,2.8
2021-07-30,Hermosillo,Heroica Nogales,Ciudad Obregón,2.759999990463257,0.9250000119209291,11.864999771118164,0.0,8.4,4.6000000000000005
2021-07-31,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.10999999940395357,0.07000000029802322,0.0,18.1,0.0
